,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
155,0.25,0.9651995905834186,0.7974087161366313,0.6515051054236839,0.5014282575258185,0.390798786653185,0.40717069368667186,0.001,0.0001,0.02,1.0508508673800148,550,4,30,0,715,6,13,0.7,1,0.5390417771883289
156,0.2,0.9590583418628454,0.8007067137809187,0.6407638244264686,0.504174906613931,0.3858695652173913,0.40950896336710835,0.0001,0.001,0.015,1.05077405275622,250,6,30,0,944,6,17,0.7,2,0.5370523872679045
157,0.25,0.9672466734902764,0.7983510011778563,0.6484551120541042,0.502856515051637,0.39143073811931245,0.4063912704598597,0.001,0.0001,0.015,1.0503255013464925,250,5,20,0,1074,6,11,0.9,3,0.5389312555260831
158,0.2,0.9590583418628454,0.8101295641931684,0.6363877469831587,0.508349813227862,0.3832153690596562,0.41636788776305533,0.001,0.001,0.02,1.0507606249013277,450,6,30,0,796,6,17,0.7,2,0.5389312555260831
159,0.25,0.9651995905834186,0.8037691401648999,0.6447420766476595,0.506152493957372,0.3872598584428716,0.4077942322681216,0.001,0.0001,0.02,1.050428243442183,250,6,10,0,802,6,15,0.9,3,0.5389036251105217
160,0.2,0.9672466734902764,0.8061248527679623,0.642355125314945,0.504174906613931,0.3867542972699697,0.40857365549493374,0.001,0.0001,0.03,1.0505432225882998,350,6,20,0,674,6,11,0.9,1,0.5382681255526083
161,0.3,0.970317297850563,0.8091872791519434,0.642487733722318,0.5012085255987695,0.3923154701718908,0.4102883865939205,0.01,0.01,0.02,1.0502902339246072,350,6,20,0,852,6,13,0.7,1,0.5395114942528736
162,0.3,0.9682702149437052,0.8004711425206125,0.6500464129425806,0.4981322786200835,0.39383215369059654,0.4060795011691348,0.001,0.0001,0.02,1.0498918200878449,250,4,50,0,870,6,15,0.8,1,0.5388207338638373
163,0.25,0.9580348004094166,0.8028268551236749,0.6432833841665562,0.5073610195561415,0.38296258847320525,0.41044427123928295,0.001,0.01,0.02,1.050804570839957,550,7,10,0,698,6,19,0.9,1,0.5381299734748011
164,0.2,0.9600818833162743,0.8044758539458187,0.6416920832780798,0.504834102395078,0.38688068756319516,0.4073265783320343,0.0001,0.0001,0.02,1.05067057603757,250,5,10,0,891,6,15,0.8,1,0.5377155172413793
